Player,Team,Pos,Age,Standard_Gls,Standard_Ast,Standard_xG,Standard_xAG,Transfer_Value,Transfer_Value_Str
Rico Henry,Brentford,DF,27,0,0,0.0,0.0,10.32,EUR 10.3M
Rico Lewis,Manchester City,"DF,MF",19,1,2,1.4,0.3,16.3251,EUR 16.3M
Robert Sánchez,Chelsea,GK,26,0,0,0.0,0.1,6.6066,EUR 6.6M
Robin Olsen,Aston Villa,GK,34,0,0,0.0,0.0,5.4,EUR 5.4M
Rodrigo Bentancur,Tottenham,MF,27,2,0,1.3,0.4,13.635299999999999,EUR 13.6M
Rodrigo Gomes,Wolves,"DF,FW",21,2,0,0.7,0.9,23.2848,EUR 23.3M
Rodrigo Muniz,Fulham,FW,23,8,1,5.8,0.7,26.226,EUR 26.2M
Romain Esse,Crystal Palace,MF,19,1,1,0.3,0.4,15.9426,EUR 15.9M
Roméo Lavia,Chelsea,MF,20,0,1,0.3,0.7,15.374999999999998,EUR 15.4M
Ross Barkley,Aston Villa,MF,30,3,1,1.8,0.6,13.187999999999999,EUR 13.2M
Ross Stewart,Southampton,FW,28,1,0,1.1,0.0,19.485899999999997,EUR 19.5M
Ryan Christie,Bournemouth,MF,29,2,3,1.8,3.5,13.997399999999999,EUR 14.0M
Ryan Fraser,Southampton,"FW,DF",30,0,0,0.0,0.1,18.017999999999997,EUR 18.0M
Ryan Gravenberch,Liverpool,MF,22,0,4,1.1,3.1,15.8688,EUR 15.9M
Ryan Manning,Southampton,"DF,MF",28,0,1,0.3,3.2,13.23,EUR 13.2M
Ryan Sessegnon,Fulham,"FW,DF",24,4,2,1.6,1.1,23.535899999999998,EUR 23.5M
Ryan Yates,Nott'ham Forest,MF,26,2,1,2.3,1.2,14.388000000000002,EUR 14.4M
Rúben Dias,Manchester City,DF,27,0,0,1.5,0.3,10.50576,EUR 10.5M
Sam Johnstone,Wolves,GK,31,0,0,0.0,0.0,5.85,EUR 5.8M
Sam Morsy,Ipswich Town,MF,32,1,1,0.4,1.2,11.9814,EUR 12.0M
Sammie Szmodics,Ipswich Town,"FW,MF",28,4,0,3.4,0.2,21.0924,EUR 21.1M
Sander Berge,Fulham,MF,26,0,0,0.4,0.6,13.332,EUR 13.3M
Sandro Tonali,Newcastle Utd,MF,24,4,2,4.4,2.2,16.228799999999996,EUR 16.2M
Santiago Bueno,Wolves,DF,25,0,0,0.4,0.0,10.843200000000001,EUR 10.8M
Saša Lukić,Fulham,MF,27,0,2,1.2,2.7,13.790099999999999,EUR 13.8M
Sean Longstaff,Newcastle Utd,MF,26,0,0,0.6,0.2,13.305600000000002,EUR 13.3M
Sepp van den Berg,Brentford,DF,22,0,0,2.0,0.8,11.84256,EUR 11.8M
Sergio Reguilón,Tottenham,DF,27,0,0,0.1,0.0,10.330319999999999,EUR 10.3M
Simon Adingra,Brighton,"FW,MF",22,2,2,2.5,2.5,24.192,EUR 24.2M
Solly March,Brighton,"FW,MF",30,0,0,0.1,0.3,18.072,EUR 18.1M
Son Heung-min,Tottenham,FW,32,7,9,7.2,8.2,24.435900000000004,EUR 24.4M
Stefan Ortega,Manchester City,GK,31,0,0,0.0,0.0,5.85,EUR 5.8M
Stephy Mavididi,Leicester City,FW,26,4,1,1.8,2.6,22.552200000000003,EUR 22.6M
Sven Botman,Newcastle Utd,DF,24,0,0,0.5,0.5,11.1504,EUR 11.2M
Sávio,Manchester City,"FW,MF",20,1,8,5.0,6.9,28.327499999999997,EUR 28.3M
Séamus Coleman,Everton,DF,35,0,0,0.6,0.0,8.4504,EUR 8.5M
Taiwo Awoniyi,Nott'ham Forest,FW,26,1,0,2.1,0.1,20.631600000000002,EUR 20.6M
Tariq Lamptey,Brighton,DF,23,2,2,0.4,0.8,12.20496,EUR 12.2M
Taylor Harwood-Bellis,Southampton,DF,22,1,0,1.8,1.0,12.07296,EUR 12.1M
Thiago,Brentford,"FW,MF",23,0,0,0.1,0.1,21.1923,EUR 21.2M
